"Frames decoded", "184"
"WebRTC.Video.DroppedFrames.Receiver", "0"
"WebRTC.Video.ReceivedPacketsLostInPercent", "0"
"WebRTC.Video.DecodedFramesPerSecond", "9"
"WebRTC.Video.InterframeDelay95PercentileInMs.S0", "104"
"WebRTC.Video.TimeInHdPercentage", "0"
"WebRTC.Video.TimeInBlockyVideoPercentage", "99"
"WebRTC.Video.NumberResolutionDownswitchesPerMinute", "0"
"WebRTC.Video.NumberFreezesPerMinute", "0"
"WebRTC.Video.HarmonicFrameRate", "9"
"WebRTC.Video.MediaBitrateReceivedInKbps", "571"
"WebRTC.Video.InterframeDelay95PercentileInMs", "104"
"WebRTC.Video.ReceiveStreamLifetimeInSeconds", "19"
"WebRTC.Video.MeanTimeBetweenFreezesMs", "19184"
"WebRTC.Video.DroppedFrames.RenderQueue", "0"
"WebRTC.Call.EstimatedSendBitrateInKbps", "{min:300, avg:300, max:300}"
"WebRTC.Call.PacerBitrateInKbps", "{min:300, avg:300, max:300}"
"WebRTC.Call.VideoBitrateReceivedInBps", "{min:330376, avg:575304, max:628848}"
"WebRTC.Call.AudioBitrateReceivedInBps", "{min:41680, avg:42288, max:44400}"
"WebRTC.Call.RtcpBitrateReceivedInBps", "{min:736, avg:944, max:1312}"
"WebRTC.Call.BitrateReceivedInBps", "{min:347168, avg:615824, max:665168}"
